ERROR 2025-05-14 10:50:33,957 activity 14296 22244 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:50:34,726 activity 14296 29212 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:50:35,883 activity 14296 30312 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:50:49,703 activity 14296 27544 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:51:14,027 activity 14296 20256 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:51:14,045 activity 14296 13040 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:51:14,062 activity 14296 15716 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/activity/'}
ERROR 2025-05-14 10:55:25,935 activity 27656 28068 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:55:25,959 activity 27656 22592 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:55:25,979 activity 27656 27316 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/activity/'}
